name,kind,shape,params,role,weight_quant,act_quant,risk,mean_abs,std,binary_pct_default,reason
patch_embed.proj,Conv2d,"(96, 3, 4, 4)",4704,first_conv,NO,NO,high,0.05934949591755867,0.07944177836179733,99.89149570465088,"first layer, sees raw RGB; tiny params (4.7K), no gain"
patch_embed.norm,LayerNorm,"(96,)",192,first_norm,NO,NO,none,2.8449513912200928,2.9781696796417236,100.0,"LayerNorm gamma/beta, 192 params, sensitive"
layers.0.blocks.0.norm1,LayerNorm,"(96,)",192,norm_pre_attn,NO,NO,none,0.7028037905693054,0.623441755771637,100.0,"LayerNorm scale/shift, tiny"
layers.0.blocks.0.attn.qkv,Linear,"(288, 96)",27936,attn_qkv,YES-APB,YES-channel,high,0.04153391346335411,0.0645965039730072,99.12471175193787,"Q,K feed softmax(QK)/sqrt(d), error amplifies; V tolerant"
layers.0.blocks.0.attn.proj,Linear,"(96, 96)",9312,attn_proj,YES-APB,YES-postSoftmax,med,0.04769716411828995,0.06839338690042496,99.31640625,after attn@V; post-softmax input has heavy tail
layers.0.blocks.0.norm2,LayerNorm,"(96,)",192,norm_pre_mlp,NO,NO,none,1.8620290756225586,0.897423505783081,100.0,"LayerNorm scale/shift, tiny"
layers.0.blocks.0.mlp.fc1,Linear,"(384, 96)",37248,mlp_fc1,YES-APB,YES-postLN,low,0.04147668555378914,0.06485264748334885,99.13194179534912,standard FFN expansion; post-LN input well-behaved
layers.0.blocks.0.mlp.fc2,Linear,"(96, 384)",36960,mlp_fc2,YES-APB,YES-postGELU,med,0.04054825380444527,0.0609811469912529,99.29470419883728,post-GELU input is asymmetric; needs care
layers.0.blocks.1.norm1,LayerNorm,"(96,)",192,norm_pre_attn,NO,NO,none,1.2095636129379272,0.26236581802368164,100.0,"LayerNorm scale/shift, tiny"
layers.0.blocks.1.attn.qkv,Linear,"(288, 96)",27936,attn_qkv,YES-APB,YES-channel,high,0.06119415536522865,0.08046448230743408,99.83000755310059,"Q,K feed softmax(QK)/sqrt(d), error amplifies; V tolerant"
layers.0.blocks.1.attn.proj,Linear,"(96, 96)",9312,attn_proj,YES-APB,YES-postSoftmax,med,0.05029767006635666,0.06584659218788147,99.79383945465088,after attn@V; post-softmax input has heavy tail
layers.0.blocks.1.norm2,LayerNorm,"(96,)",192,norm_pre_mlp,NO,NO,none,1.9627894163131714,0.6053175330162048,100.0,"LayerNorm scale/shift, tiny"
layers.0.blocks.1.mlp.fc1,Linear,"(384, 96)",37248,mlp_fc1,YES-APB,YES-postLN,low,0.049151983112096786,0.0671258494257927,99.69346523284912,standard FFN expansion; post-LN input well-behaved
layers.0.blocks.1.mlp.fc2,Linear,"(96, 384)",36960,mlp_fc2,YES-APB,YES-postGELU,med,0.05348668247461319,0.07341622561216354,99.67719316482544,post-GELU input is asymmetric; needs care
layers.1.downsample.norm,LayerNorm,"(384,)",768,downsample_norm,NO,NO,none,0.8192334175109863,0.29220837354660034,96.875,"LayerNorm, tiny"
layers.1.downsample.reduction,Linear,"(192, 384)",73728,downsample,maybe-W8,YES,med,0.04457896202802658,0.05692010745406151,99.90370273590088,"cross-resolution Linear, sensitive to shift"
